district,educ
Chadiza,2.442622950819672
Chama,1.2285300288499945
Chasefu,1.3152516225726527
Chavuma,1.7
Chembe,1.375
Chibombo,1.6327681036846238
Chiengi,1.1228525694188483
Chifunabuli,1.5084029803886583
Chikankanta,1.5526104992014498
Chilanga,1.5145863967544861
Chililabombwe,1.7859425872212764
Chilubi,1.0546889608919796
Chingola,1.8819583347362694
Chinsali,1.4071154613817682
Chipangali,1.2415171011530617
Chipata,1.5322663968898713
Chipili,1.2291666666666665
Chisamba,1.436057598747793
Chitambo,0.9551705276034159
Choma,1.480580209684814
Chongwe,1.6476817331788058
Gwembe,1.358583040656436
Ikelenge,1.2148965353576273
Isoka,1.359957312013968
Kabompo,1.654555872785734
Kabwe,1.8301130805591472
Kafue,1.5551245299194167
Kalabo,1.2885351336826618
Kalomo,1.352227989345063
Kalulushi,2.2145467939171217
Kalumbila,1.6294658499414258
Kanchibiya,1.1350348694415873
Kaoma,1.76970229196886
Kapiri Mposhi,1.500615564683448
Kaputa,1.5667140611394155
Kasama,1.6165815173490852
Kasempa,1.4293251646412146
Kasenengwa,1.2237350990221199
Katete,1.1496013116006625
Kawambwa,1.504957681312818
Kazungula,1.4851909388407545
Kitwe,1.823859348685293
Lavushimanda,0.7141811887977798
Limulunga,1.2934536831740402
Livingstone,1.7912619399499814
Luampa,1.0457607366004669
Luangwa,1.5681804049377273
Luano,0.9523809523809524
Luanshya,1.976561212721217
Lufwanyama,1.3871271733954837
Lukulu,1.3066891549420714
Lumezi,1.1694767508267898
Lundazi,1.2887394135437238
Lunga,1.2037221867921593
Lunte District,1.1522839082267042
Lupososhi,1.1685672872560586
Lusaka,1.8836273225935594
Luwingu,1.5208843854684073
Mafinga,1.2358785752363728
Mambwe,1.2230464109139758
Mansa,1.5986010665249208
Manyinga,1.6822674236018071
Masaiti,1.5197941003151962
Mazabuka,1.6154611655640425
Mbala,1.3079132480456546
Milengi,0.34146341463414637
Mitete,0.9166666666666667
Mkushi,1.516646182133574
Mongu,1.659259025762792
Monze,1.6494614239344458
Mpika,1.572794382342667
Mpongwe,1.5652613738846115
Mporokoso,1.5223742728260483
Mpulungu,1.2635390186121693
Mufulira,1.878881875642837
Mufumbwe,1.4603069480658737
Mulobezi,1.3550755054930221
Mumbwa,1.4611384417204123
Mungwi,1.3442938731040868
Mushindano,1.1555555555555554
Mwandi,1.59375
Mwansabombwe,1.502798340340792
Mwense,1.5519044302547587
Mwinilunga,1.345510482488593
Nakonde,1.5385072923526475
Nalolo,1.3305592168704448
Namwala,1.268981368782215
Nchelenge,1.3097963556609085
Ndola,1.8420495553300753
Ngabwe,0.9999999999999999
Nkeyema,1.5829651901027069
Nsama,1.1959909101049158
Nyimba,1.2722051898589122
Pemba,1.3254170113042243
Petauke,1.1315513176950893
Rufunsa,1.2091899286119643
Samfya,1.3316202485914894
Senanga,1.3380662524158502
Senga Hill,1.3320180451038977
Serenje,1.613787114761219
Sesheke,1.5217739156554768
Shang'ombo,0.7434186669989037
Shiwamg'andu,1.4731921619124757
Siavonga,1.9016939330044689
Sikongo,0.915291863206341
Sinazongwe,1.3146055045548213
Sinda,0.9761516923233302
Sioma,0.805003124648309
Solwezi,1.8536978164443374
Vubwi,1.1858763938168881
Zambezi,1.5992442795454034
Zimba,1.454259005612937
