district,stunt
Chadiza,0
Chama,0.2369145074027394
Chasefu,0.3372151010256255
Chavuma,0.47058823529411764
Chembe,0.42857142857142855
Chibombo,0.2819902009495725
Chiengi,0.407213348443592
Chifunabuli,0.423361859862287
Chikankanta,0.3387563184791726
Chilanga,0.3932677324582055
Chililabombwe,0.17943191769614972
Chilubi,0.5494354735941758
Chingola,0.3904249904520211
Chinsali,0.3483497593698316
Chipangali,0.24511677053123698
Chipata,0.3317375646440695
Chipili,0.68
Chisamba,0.38105246460832276
Chitambo,0.36906716038201975
Choma,0.2798380602327997
Chongwe,0.3634956240389942
Gwembe,0.3701611566076228
Ikelenge,0.3563284329955521
Isoka,0.2529037080814916
Kabompo,0.30130321322844905
Kabwe,0.2871491567035263
Kafue,0.2764807327556619
Kalabo,0.32763318272761116
Kalomo,0.2830501879676501
Kalulushi,0.3389981394463033
Kalumbila,0.295774021050289
Kanchibiya,0.4294433905898372
Kaoma,0.28870611425041187
Kapiri Mposhi,0.4256174015744807
Kaputa,0.4509209385585864
Kasama,0.39385843655477043
Kasempa,0.2885737788104467
Kasenengwa,0.24025130471712747
Katete,0.4267842988945357
Kawambwa,0.449831754044335
Kazungula,0.346486693036954
Kitwe,0.27169691301412174
Lavushimanda,0.20446664878874313
Limulunga,0.20276110659044821
Livingstone,0.220625703253927
Luampa,0.4068322785753099
Luangwa,0.26495887105632104
Luano,0.4090909090909091
Luanshya,0.27145924501350444
Lufwanyama,0.2924917040416466
Lukulu,0.3361063300404525
Lumezi,0.4583142996607503
Lundazi,0.3852804874915037
Lunga,0.44846096433562693
Lunte District,0.40259727355438013
Lupososhi,0.4542310295181248
Lusaka,0.35361336302547747
Luwingu,0.4285714285714286
Mafinga,0.39309643658822574
Mambwe,0.30412553287571203
Mansa,0.4155102467139651
Manyinga,0.3744828679854058
Masaiti,0.35290300466943303
Mazabuka,0.3341830299453162
Mbala,0.5636640770314524
Milengi,0.22222222222222224
Mitete,0.1875
Mkushi,0.3423204472434543
Mongu,0.26719355798791117
Monze,0.3277437056907691
Mpika,0.35153178535984136
Mpongwe,0.31304127814163485
Mporokoso,0.35824274747781765
Mpulungu,0.36645822610369594
Mufulira,0.29140076543347926
Mufumbwe,0.28163129610551674
Mulobezi,0.19673199392887544
Mumbwa,0.2217487651079994
Mungwi,0.4348704402396161
Mushindano,0.42857142857142855
Mwandi,0.21428571428571427
Mwansabombwe,0.4847375146570624
Mwense,0.3570426128041059
Mwinilunga,0.39083871362355427
Nakonde,0.3716613099983784
Nalolo,0.23164609486315588
Namwala,0.22610585722492307
Nchelenge,0.5518724398204953
Ndola,0.29994746034773756
Ngabwe,0.13333333333333333
Nkeyema,0.3696893891468636
Nsama,0.4259209144985967
Nyimba,0.3359134795788484
Pemba,0.32561143539476745
Petauke,0.34225226165118633
Rufunsa,0.30503437653873766
Samfya,0.5091052786753382
Senanga,0.32141056356494135
Senga Hill,0.5481655465204125
Serenje,0.3690700023847491
Sesheke,0.35383144637744063
Shang'ombo,0.3561337601301623
Shiwamg'andu,0.36618299426186746
Siavonga,0.251443065760974
Sikongo,0.28121094690886345
Sinazongwe,0.2580386616561698
Sinda,0.3673959558357063
Sioma,0.24227587590138472
Solwezi,0.3609201190625119
Vubwi,0.30234994913457924
Zambezi,0.1478952153240988
Zimba,0.3277328656830166
